Area_Code,Population,Households,Med_Age,Med_HH_Inc,Avg_HH_Inc
98208,58640,21681,37.0,85435,100244
98220,589,233,42.6,59063,69702
98221,22057,10036,51.3,67468,90795
98223,45991,16805,40.2,81972,94973
98224,116,62,49.5,37727,51976
98225,49000,21566,32.1,45689,69459
98226,46211,18617,39.0,65142,81311
98229,33553,14153,39.8,64312,85153
98230,19103,8018,44.9,66559,82880
98232,3845,1589,51.5,74031,99506
98233,15924,5998,37.1,55021,70391
98236,6006,2734,54.6,69965,95012
98237,4197,1792,47.8,48249,60660
98239,7411,3328,55.7,63336,79312
98240,3230,1191,43.6,64377,74749
98241,2392,1042,45.9,55882,81229
98244,3046,1259,43.4,58921,69646
98245,5129,2610,55.8,53532,86859
98247,8557,2985,35.7,64786,80581
98248,23911,8967,38.1,63336,76168
98249,4932,2385,58.5,66931,85306
98250,7985,3798,55.1,67873,90857
98251,5387,2224,42.7,65580,78506
98252,10219,3863,40.8,82116,100804
98253,1811,887,60.2,61630,84228
98257,4378,2001,55.4,57292,71745
98258,48708,17119,36.8,93207,108626
98260,5891,2870,57.9,67556,85114
98261,2490,1294,60.0,52241,76563
98262,1020,512,58.3,65000,73745
98264,20821,7788,36.8,66621,80786
98266,4315,1616,37.4,56119,64268
98267,402,188,51.7,42273,53620
98270,52538,18499,36.1,74966,86972
98271,31479,11419,38.7,74005,89117
98272,30571,9819,37.0,90582,107314
98273,31114,11313,35.6,57496,75570
98274,18784,7204,41.1,68009,91211
98275,21722,8852,44.0,107982,139017
98276,1424,499,32.5,63700,82554
98277,40316,16295,35.0,58140,70170
98278,1396,188,22.9,34048,39787
98279,658,341,58.1,60601,92009
98281,1386,744,57.1,60294,83159
98282,17126,7353,53.5,74941,92615
